,TOT_REG_CD,ADM_NM,ADM_CD,211009_9시_총생활인구수,211009_13시_총생활인구수,211009_15시_총생활인구수,211012_9시_총생활인구수,211012_13시_총생활인구수,211012_15시_총생활인구수
0,1117051010005 ,신도림동,1117051,146.7031,152.9737,152.9737,176.9256,153.3096,141.6267
1,1117051010004 ,신도림동,1117051,206.2219,197.7471,197.7471,226.6736,169.6126,167.2922
2,1117051010007 ,신도림동,1117051,575.8035,752.4278,752.4278,583.0505,603.7049,598.3968
3,1117051010006 ,신도림동,1117051,747.2956,722.2382,722.2382,916.9916,1036.606,913.3189
4,1117051010008 ,신도림동,1117051,1510.4032,1733.2589,1733.2589,1568.965,1589.1303,1533.0047
5,1117051010001 ,신도림동,1117051,1286.2541,2107.2382,2107.2382,2139.4323,2419.4552,2396.4571
6,1117051010003 ,신도림동,1117051,1145.7008,1863.5951,1863.5951,1774.1449,2096.9951,2049.1389
7,1117051010002 ,신도림동,1117051,469.5695,567.3139,567.3139,568.7476,550.7456,541.0994
8,1117051010103 ,신도림동,1117051,264.7327,77.6977,77.6977,260.5248,211.8733,202.5889
9,1117051010102 ,신도림동,1117051,127.6993,89.5456,89.5456,137.4736,111.2949,106.257
10,1117051010105 ,신도림동,1117051,175.9896,96.9547,96.9547,183.3601,148.6382,142.0255
11,1117051010104 ,신도림동,1117051,112.4331,12.2977,12.2977,105.6548,85.9383,82.3207
12,1117051010106 ,신도림동,1117051,312.2659,158.1739,158.1739,322.3867,262.6538,251.5308
13,1117051010101 ,신도림동,1117051,496.2449,314.6359,314.6359,466.8236,371.7327,358.8342
14,1117051010201 ,신도림동,1117051,68.5537,35.8356,35.8356,62.9514,61.8795,53.7662
15,1117051010202 ,신도림동,1117051,251.2702,276.1526,276.1526,279.263,263.4043,227.9955
16,1117051010301 ,신도림동,1117051,525.4376,176.602,176.602,365.8057,256.0625,279.5826
17,1117051010401 ,신도림동,1117051,21.7638,4.3902,4.3902,21.6569,18.7333,14.6178
18,1117051010402 ,신도림동,1117051,0.4462,0.4607,0.4607,0.3489,0.3613,0.5801
19,1117051010501 ,신도림동,1117051,73.7505,21.4361,21.4361,75.0599,62.1967,47.9754
20,1117051010601 ,신도림동,1117051,223.3579,209.8575,209.8575,265.4526,233.8265,199.27
21,1117051010602 ,신도림동,1117051,89.9671,26.8593,26.8593,98.4104,82.7438,67.0567
22,1117051010701 ,신도림동,1117051,390.8095,124.8176,124.8176,328.0758,219.3092,211.338
23,1117051010703 ,신도림동,1117051,622.7985,197.2091,197.2091,454.1142,310.8884,298.7024
24,1117051010702 ,신도림동,1117051,572.9432,177.7356,177.7356,385.2856,265.9772,254.6685
25,1117051010704 ,신도림동,1117051,305.7796,104.3216,104.3216,217.6101,179.644,179.756
26,1117051020003 ,신도림동,1117051,1614.2981,3437.4626,3437.4626,2470.3995,2996.9947,3125.8808
27,1117051020104 ,신도림동,1117051,278.6529,91.3119,91.3119,131.372,94.2299,88.7681
28,1117051020105 ,신도림동,1117051,236.1664,219.8016,219.8016,246.0983,215.728,185.9754
29,1117051020102 ,신도림동,1117051,222.2704,92.0493,92.0493,189.2287,162.2643,140.3884
30,1117051020101 ,신도림동,1117051,994.3888,477.9289,477.9289,477.6535,325.8344,317.9734
31,1117051020404 ,신도림동,1117051,143.4141,4.424,4.424,125.4068,111.3735,107.0639
32,1117051020402 ,신도림동,1117051,0.6136,0.738,0.738,0.5609,0.5021,1.0229
33,1117051020403 ,신도림동,1117051,212.5137,53.701,53.701,204.7531,182.0852,174.8454
34,1117051020401 ,신도림동,1117051,941.5461,309.2382,309.2382,586.1952,402.5912,392.5894
35,1117051020502 ,신도림동,1117051,889.957,495.7306,495.7306,594.7771,516.3394,525.8438
36,1117051020503 ,신도림동,1117051,449.2705,325.9625,325.9625,493.2094,491.3574,473.5953
37,1117051020501 ,신도림동,1117051,839.5629,931.2857,931.2857,603.9266,506.4589,511.9255
38,1117051020601 ,신도림동,1117051,244.5482,156.353,156.353,261.4767,215.6317,206.8556
39,1117051030003 ,신도림동,1117051,2153.6263,5948.9623,5948.9623,3302.5411,4065.3054,3883.0338
40,1117051030002 ,신도림동,1117051,1148.3919,1659.2506,1659.2506,1156.3956,1070.6805,1224.8719
41,1117051030201 ,신도림동,1117051,332.4447,251.9501,251.9501,201.6582,169.0486,195.8085
42,1117051030302 ,신도림동,1117051,606.6589,440.7109,440.7109,426.6719,384.8404,357.1313
43,1117051030301 ,신도림동,1117051,555.9136,628.3059,628.3059,426.2831,366.0418,339.2391
44,1117051030401 ,신도림동,1117051,113.114,134.6157,134.6157,127.2756,151.4588,210.2026
